	A_rep1	A_rep2	A_rep3	B_rep1	B_rep2	B_rep3
RGS16	40	29	50	32	32	31
RGS17	5	9	13	54	44	70
RGS18	0	0	0	9	12	20
RGS19	541	451	590	1194	1064	1575
RGS2	1908	1816	3354	1670	1713	1959
RGS20	211	191	417	409	396	547
RGS3	3757	3121	4332	1896	1808	2574
RGS4	3	2	3	21	33	22
RGS5	271	247	470	384	398	442
RGS9	25	39	40	44	39	49
RGS9BP	2	5	4	3	4	5
RHBDD1	1084	1041	1740	1055	1060	1278
RHBDD2	1939	1572	2304	2197	2114	2909
RHBDD3	501	382	597	1001	876	1238
RHBDF1	1739	1440	2121	3072	2668	4255
RHBDF2	347	328	447	996	868	1224
RHBDL1	143	114	139	41	36	80
RHBDL2	160	151	271	164	164	229
RHBDL3	4	2	2	12	5	13
RHCE	11	9	12	23	32	38
RHCG	334	297	480	1	5	2
RHD	16	8	16	23	18	24
RHEB	1071	1056	1842	1231	1182	1408
RHEBL1	46	54	84	143	131	225
RHNO1	1226	1114	2007	1163	1095	1370
RHOA	19291	17594	29437	29715	28885	37263
RHOB	2424	2052	2984	10518	9252	12567
RHOBTB1	42	47	74	814	809	904
RHOBTB2	5656	4913	7664	3719	3451	4789
RHOBTB3	4477	4302	8888	2643	2777	3269
RHOC	9700	8030	12493	22645	21082	29075
RHOD	4162	3555	4813	1866	1625	2446
RHOF	9	6	9	13	10	22
RHOG	2034	1741	2408	2826	2544	3654
RHOH	0	2	1	14	15	21
RHOJ	0	1	0	8	8	17
RHOQ	608	582	1294	1160	1244	1343
RHOT1	1019	1036	1828	944	963	1100
RHOT2	4420	3649	5283	5010	4349	6942
RHOU	2	4	4	40	43	45
RHOV	255	211	414	11	11	13
RHPN1	369	318	456	55	43	66
RHPN1-AS1	18	15	21	7	8	5
RHPN2	451	441	686	185	214	259
RIBC1	98	91	110	28	23	34
RIC3	15	14	18	8	7	4
RIC8A	3851	3257	5075	8814	8193	11706
RIC8B	577	520	1018	801	843	1033
RICTOR	2161	2222	3740	1953	1993	2244
RIF1	2290	2310	3850	2465	2643	2847
RILP	425	387	483	151	133	192
RILPL1	593	504	767	974	878	1380
RILPL2	733	642	1048	1087	1009	1456
RIMBP3	1	0	5	17	15	18
RIMKLA	3	4	7	1	0	1
RIMKLB	1362	1236	2321	1872	1800	2181
RIMS3	113	76	169	53	54	68
RIN1	3767	3029	4179	2091	1775	2705
RIN2	4749	4356	7419	3106	3135	3943
RIN3	516	384	547	1281	1091	1618
RING1	1935	1638	2517	2508	2268	3125
RINL	66	37	65	22	23	31
RINT1	771	736	1376	1047	1050	1210
RIOK1	1701	1579	2956	1120	1046	1284
RIOK2	1280	1245	2412	1980	2121	2341
RIOK3	3824	3639	7994	3251	3299	4163
RIPK1	1831	1709	2895	2116	2000	2814
RIPK2	428	428	728	425	440	549
RIPK3	145	121	202	67	49	91
RIPK4	4202	3562	5137	1834	1772	2833
RIT1	485	392	870	1061	1175	1277
RLF	1410	1375	2461	1812	1851	2323
RLIM	2694	2729	5209	2816	2645	3299
RLN1	12	8	11	4	5	11
RLN2	51	49	95	24	33	29
RLTPR	32	18	26	87	95	116
RMDN1	1700	1659	3198	1670	1630	2143
RMDN2	255	222	493	170	168	219
RMDN3	1489	1262	2349	2000	2036	2779
RMI1	917	921	1767	954	1002	1108
RMI2	873	776	1375	879	790	942
RMND1	959	931	2069	799	821	1016
RMND5A	1813	1681	3056	907	875	1058
RMND5B	1230	1071	1484	865	709	1057
RMRP	17	16	14	21	27	19
RNASE1	1	2	3	3	2	7
RNASE13	0	0	0	7	6	6
RNASE4	61	55	143	189	206	242
RNASE7	91	82	160	1246	1164	1816
RNASEH1	574	501	870	1126	1014	1312
RNASEH2A	1886	1612	2523	2769	2532	3616
RNASEH2B	1209	1194	2219	1700	1521	1878
RNASEH2B-AS1	3	8	13	13	19	18
RNASEH2C	854	711	1014	1505	1436	2024
RNASEK	37	24	36	51	37	66
RNASEL	690	666	1212	694	722	925
RNASET2	347	280	442	96	93	157
RND1	22	13	15	71	61	79
RND2	13	11	18	4	3	7
RND3	2872	2794	5792	3161	3181	3468
RNF10	5478	4630	7515	4630	4512	6143
RNF103	754	702	1254	1040	1039	1178
RNF103-CHMP3	5	5	1	3	3	2
RNF11	2932	2709	4669	3722	3634	4398
RNF111	1174	1052	1769	1616	1504	1998
RNF112	5	4	10	16	17	19
RNF113A	593	491	768	708	640	1016
RNF114	3092	2835	4676	3008	2659	3976
RNF115	964	862	1498	1060	952	1216
RNF121	882	769	1307	1677	1614	2198
RNF122	16	9	15	74	65	109
RNF123	2207	1938	2984	2471	2204	3399
RNF125	150	142	278	59	72	93
RNF126	2272	1799	2262	3016	2352	3865
RNF126P1	20	18	27	23	22	40
RNF128	495	468	743	31	34	42
RNF13	1890	1838	3349	1597	1625	1906
RNF130	2167	1974	3219	1880	1757	2406
RNF135	711	606	943	642	551	813
RNF138	885	928	1752	989	1022	1131
